Nome_Serie,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,ID_1_OPT,ID_2_OPT,ID_3_OPT,ID_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR187_1_35TNL_x546265_y5063815_S2L2A,2016-09-05T09:00:22.026000Z,2016-09-28T09:10:22.026000Z,2016-10-15T09:00:12.026000Z,2016-11-04T09:01:32.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.714781791052296,27.610824958076137,N/A,EPSG:32635
EMSR203_3_15SVA_x447645_y4099745_S2L2A,2017-03-08T17:03:01.026000Z,2017-04-24T16:53:11.026000Z,2017-05-07T17:03:11.026000Z,2017-05-14T16:53:21.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.03104063363781,-93.57431783978662,N/A,EPSG:32615
EMSR265_14_31UEQ_x522555_y5415395_S2L2A,2017-12-12T10:54:41.026000Z,2018-01-03T10:44:29.027000Z,2018-01-26T10:53:19.027000Z,2018-02-22T10:40:29.028000Z,NaN,2016-12-27,2017-01-26,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20161227T105442_20161227T105527_T31UEQ,COPERNICUS/S2_SR_HARMONIZED/20170126T105321_20170126T105612_T31UEQ,NaN,48.87957712723541,3.325019655783213,N/A,EPSG:32631
EMSR279_4_30TXM_x611635_y4633105_S2L2A,2018-02-25T10:50:19.027000Z,2018-03-15T10:58:11.026000Z,2018-04-14T10:56:51.026000Z,2018-04-24T10:56:51.024000Z,NaN,NaN,2017-04-09,2017-04-19,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TXM,COPERNICUS/S2_SR_HARMONIZED/20170419T105621_20170419T110601_T30TXM,41.830313204084455,-1.6402636587242214,N/A,EPSG:32630
EMSR186_13_17SMR_x450865_y3505915_S2L2A,2016-08-22T15:59:02.026000Z,2016-10-01T16:00:52.026000Z,2016-10-14T16:13:42.026000Z,2016-11-10T16:05:02.026000Z,NaN,NaN,NaN,2015-11-16,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20151116T161042_20151116T161042_T17SMR,31.676050566015263,-81.5049242899763,N/A,EPSG:32617
EMSR416_1_30TXP_x651415_y4834755_S2L2A,2019-10-13T10:50:31.024000Z,2019-12-05T11:04:31.024000Z,2019-12-15T11:04:41.024000Z,2020-01-19T11:02:59.024000Z,NaN,2018-11-30,NaN,2019-01-19,NaN,COPERNICUS/S2_SR_HARMONIZED/20181130T110411_20181130T110431_T30TXP,NaN,COPERNICUS/S2_SR_HARMONIZED/20190119T110401_20190119T110436_T30TXP,43.63864270932156,-1.106988243765251,N/A,EPSG:32630
EMSR203_3_15SWA_x521455_y4084375_S2L2A,2017-03-08T17:03:01.026000Z,2017-04-24T16:53:11.026000Z,2017-05-07T17:03:11.026000Z,2017-05-14T16:53:21.026000Z,NaN,NaN,2016-05-12,2016-05-12,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20160512T170312_20160512T171144_T15SWA,COPERNICUS/S2_SR_HARMONIZED/20160512T170312_20160512T171144_T15SWA,36.89360399646205,-92.74489329012158,N/A,EPSG:32615
EMSR277_2_35TMF_x456125_y4573475_S2L2A,2018-01-31T09:12:11.026000Z,2018-03-07T09:08:19.027000Z,2018-04-03T08:55:49.027000Z,2018-04-28T08:56:01.024000Z,NaN,2017-03-04,2017-03-29,2017-04-26,NaN,COPERNICUS/S2_SR_HARMONIZED/20170304T085841_20170304T085855_T35TMF,COPERNICUS/S2_SR_HARMONIZED/20170329T090019_20170329T090318_T35TMF,COPERNICUS/S2_SR_HARMONIZED/20170426T091031_20170426T091828_T35TMF,41.30012944620376,26.491155070621545,N/A,EPSG:32635
EMSR444_2_35UMP_x402755_y5359705_S2L2A,2020-05-13T09:20:31.024000Z,2020-06-12T09:20:41.024000Z,2020-06-27T09:20:29.024000Z,2020-07-02T09:20:31.025000Z,2019-05-09,2019-06-13,2019-06-28,2019-06-28,COPERNICUS/S2_SR_HARMONIZED/20190509T092031_20190509T092039_T35ULP,COPERNICUS/S2_SR_HARMONIZED/20190613T092039_20190613T092035_T35ULP,COPERNICUS/S2_SR_HARMONIZED/20190628T092031_20190628T092514_T35ULP,COPERNICUS/S2_SR_HARMONIZED/20190628T092031_20190628T092514_T35ULP,48.37173801294441,25.704111442511472,N/A,EPSG:32635
EMSR184_4_55HCC_x339535_y6250965_S2L2A,2016-08-04T00:26:02.026000Z,2016-09-23T00:21:02.026000Z,2016-10-03T00:25:52.026000Z,2016-10-23T00:25:52.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33.88113607308905,145.27868404768273,N/A,EPSG:32755
EMSR200_12_56JNP_x513785_y6808485_S2L2A,2017-01-31T23:52:41.026000Z,2017-03-02T23:52:41.026000Z,2017-04-05T00:02:21.026000Z,2017-05-01T23:52:51.026000Z,NaN,NaN,2016-04-06,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20160406T235242_20160406T235242_T56JNP,NaN,-28.862755021316072,153.1544165929215,N/A,EPSG:32756
EMSR427_10_33VVC_x455495_y6283045_S2L2A,2019-12-31T10:33:39.024000Z,2020-01-22T10:23:21.024000Z,2020-03-07T10:17:59.024000Z,2020-03-25T10:30:21.024000Z,2019-01-05,NaN,2019-02-26,2019-04-02,COPERNICUS/S2_SR_HARMONIZED/20190105T103429_20190105T103425_T33VVC,NaN,COPERNICUS/S2_SR_HARMONIZED/20190226T102021_20190226T102019_T33VVC,COPERNICUS/S2_SR_HARMONIZED/20190402T102029_20190402T102026_T33VVC,56.67803834825817,14.294444712452515,N/A,EPSG:32633
EMSR279_3_30TXM_x618985_y4676815_S2L2A,2018-01-29T11:03:09.027000Z,2018-03-30T10:56:19.027000Z,2018-04-14T10:56:51.026000Z,2018-04-19T10:56:19.027000Z,NaN,NaN,2017-04-09,2017-04-09,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TXM,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TXM,42.222784304736436,-1.5428151966792727,N/A,EPSG:32630
EMSR350_2_50KPC_x660015_y7734285_S2L2A,2019-02-16T02:13:41.024000Z,2019-02-26T02:13:41.024000Z,2019-03-28T02:13:41.024000Z,2019-04-17T02:13:51.024000Z,NaN,2018-02-26,2018-03-28,2018-04-12,NaN,COPERNICUS/S2_SR_HARMONIZED/20180226T021339_20180226T021911_T50KPC,COPERNICUS/S2_SR_HARMONIZED/20180328T021339_20180328T022153_T50KPC,COPERNICUS/S2_SR_HARMONIZED/20180412T021351_20180412T022308_T50KPC,-20.494712047069132,118.54663920835642,N/A,EPSG:32750
EMSR397_1_31TCG_x341115_y4619385_S2L2A,2019-09-08T10:50:29.024000Z,2019-10-05T10:40:29.024000Z,2019-10-25T10:40:29.024000Z,2019-11-29T10:44:11.024000Z,2018-08-29,2018-09-28,2018-10-25,2018-11-27,COPERNICUS/S2_SR_HARMONIZED/20180829T105031_20180829T105441_T31TCG,COPERNICUS/S2_SR_HARMONIZED/20180928T105021_20180928T105515_T31TCG,COPERNICUS/S2_SR_HARMONIZED/20181025T104121_20181025T104115_T31TCG,COPERNICUS/S2_SR_HARMONIZED/20181127T105401_20181127T105429_T31TCG,41.6991728172504,1.1058382891322722,N/A,EPSG:32631
EMSR347_6_36LXH_x683775_y8278755_S2L2A,2019-01-29T07:41:51.024000Z,2019-02-28T07:38:41.024000Z,2019-03-10T07:37:31.024000Z,2019-03-25T07:36:09.024000Z,2018-01-19,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20180119T074229_20180119T075845_T36LXH,NaN,NaN,NaN,-15.573611979936993,34.72573794500224,N/A,EPSG:32736
EMSR645_6_38LRH_x813025_y8200745_S2L2A,2022-11-26T07:01:59.024000Z,2023-01-08T07:12:09.024000Z,2023-01-28T07:12:09.024000Z,2023-02-04T07:01:59.024000Z,2021-11-21,2022-01-05,2022-01-30,2022-01-30,COPERNICUS/S2_SR_HARMONIZED/20211121T070049_20211121T070047_T38LRH,COPERNICUS/S2_SR_HARMONIZED/20220105T070051_20220105T070052_T38LRH,COPERNICUS/S2_SR_HARMONIZED/20220130T070049_20220130T070044_T38LRH,COPERNICUS/S2_SR_HARMONIZED/20220130T070049_20220130T070044_T38LRH,-16.265191143341838,47.94042959657192,N/A,EPSG:32738
EMSR264_9_39KTU_x275275_y7819035_S2L2A,2017-11-07T07:02:31.026000Z,2017-12-22T07:02:19.027000Z,2018-01-06T07:02:31.026000Z,2018-01-16T07:02:31.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.723068345806453,48.86796045353948,N/A,EPSG:32739
EMSR280_3_33VWH_x551845_y6720835_S2L2A,2018-03-18T10:20:19.027000Z,2018-04-12T10:20:21.026000Z,2018-05-17T10:20:19.027000Z,2018-06-04T10:30:21.024000Z,NaN,NaN,NaN,2017-05-27,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20170527T102031_20170527T102301_T33VWH,60.608379054866475,15.97024495392562,N/A,EPSG:32633
EMSR788_1_30TWT_x585815_y5289685_S2L2A,2024-12-03T11:04:19.025000Z,2025-01-15T11:13:19.024000Z,2025-01-30T11:13:41.025000Z,2025-03-03T10:58:49.024000Z,2023-12-02,2024-01-08,NaN,2024-03-03,COPERNICUS/S2_SR_HARMONIZED/20231202T111329_20231202T111330_T30TWT,COPERNICUS/S2_SR_HARMONIZED/20240108T110339_20240108T110338_T30TWT,NaN,COPERNICUS/S2_SR_HARMONIZED/20240303T105941_20240303T110445_T30TWT,47.7431806685731,-1.8382499895243245,N/A,EPSG:32630
EMSR397_1_31TCG_x330875_y4606585_S2L2A,2019-09-08T10:50:29.024000Z,2019-10-05T10:40:29.024000Z,2019-10-25T10:40:29.024000Z,2019-11-29T10:44:11.024000Z,2018-09-05,2018-09-28,2018-10-25,2018-12-02,COPERNICUS/S2_SR_HARMONIZED/20180905T104021_20180905T104527_T31TCG,COPERNICUS/S2_SR_HARMONIZED/20180928T105021_20180928T105515_T31TCG,COPERNICUS/S2_SR_HARMONIZED/20181025T104121_20181025T104115_T31TCG,COPERNICUS/S2_SR_HARMONIZED/20181202T105419_20181202T105516_T31TCG,41.58185790032542,0.9864361471614116,N/A,EPSG:32631
EMSR279_2_30TWN_x593785_y4724295_S2L2A,2018-01-29T11:03:09.027000Z,2018-03-30T10:56:19.027000Z,2018-04-14T10:56:51.026000Z,2018-04-19T10:56:19.027000Z,NaN,NaN,2017-04-09,2017-04-09,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TWN,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TWN,42.65377328222435,-1.840236265538121,N/A,EPSG:32630
EMSR779_1_33PVM_x475315_y1163255_S2L2A,2024-08-30T09:20:31.024000Z,2024-10-29T09:21:11.024000Z,2024-11-23T09:22:19.024000Z,2024-12-23T09:23:19.024000Z,2023-08-26,2023-10-25,2023-11-19,2023-12-14,COPERNICUS/S2_SR_HARMONIZED/20230826T092031_20230826T093152_T33PVM,COPERNICUS/S2_SR_HARMONIZED/20231025T092041_20231025T093608_T33PVM,COPERNICUS/S2_SR_HARMONIZED/20231119T092159_20231119T093231_T33PVM,COPERNICUS/S2_SR_HARMONIZED/20231214T092401_20231214T093628_T33PVM,10.511548949320467,14.786053724101661,N/A,EPSG:32633
EMSR279_1_30TWN_x559895_y4762255_S2L2A,2018-02-26T11:10:11.026000Z,2018-03-30T10:56:19.027000Z,2018-04-14T10:56:51.026000Z,2018-04-19T10:56:19.027000Z,NaN,NaN,2017-04-09,2017-04-09,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TWN,COPERNICUS/S2_SR_HARMONIZED/20170409T105651_20170409T110529_T30TWN,42.999027359893745,-2.24953813014614,N/A,EPSG:32630
EMSR712_8_32UND_x581835_y5811155_S2L2A,2023-11-17T10:22:19.024000Z,2023-11-17T10:22:19.024000Z,2023-12-27T10:23:39.024000Z,2024-01-09T10:33:29.024000Z,NaN,NaN,2022-12-27,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20221227T102431_20221227T102433_T32UND,NaN,52.4327994927785,10.222471861143399,N/A,EPSG:32632
EMSR264_17_38KMD_x442085_y7836255_S2L2A,2017-12-05T07:12:09.027000Z,2017-12-25T07:12:09.027000Z,2018-01-09T07:12:11.026000Z,2018-02-16T07:22:09.027000Z,2016-11-25,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20161125T071212_20161125T071213_T38KMD,NaN,NaN,NaN,-19.57932536493089,44.45996202772607,N/A,EPSG:32738
EMSR348_1_37KBA_x280055_y8022345_S2L2A,2019-01-31T07:31:39.024000Z,2019-02-25T07:29:01.025000Z,2019-03-22T07:26:19.024000Z,2019-04-16T07:26:21.024000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.88732717076196,36.9360701070793,N/A,EPSG:32737
