Nome_Serie,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT,Motivo_Scarto,target_month
EMSR789_5_17MNU_x563535_y9875215,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1404435234889432,-80.41746436506145,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1404435234889432,-80.41746436506145,17MNU,EPSG:32717,< 2015,3
EMSR789_5_17MNU_x571215_y9870095,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1867476691858632,-80.34842596802426,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1867476691858632,-80.34842596802426,17MNU,EPSG:32717,< 2015,1
EMSR789_5_17MNU_x568655_y9872655,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1635934057491113,-80.37144067612995,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1635934057491113,-80.37144067612995,17MNU,EPSG:32717,< 2015,8
EMSR789_5_17MNU_x573775_y9867535,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.2099015231339445,-80.32541087720855,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.2099015231339445,-80.32541087720855,17MNU,EPSG:32717,< 2015,9
EMSR789_5_17MNU_x576335_y9875215,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1404177760678411,-80.30241860565829,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1404177760678411,-80.30241860565829,17MNU,EPSG:32717,< 2015,9
EMSR789_5_17MNU_x578895_y9872655,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1635712563476472,-80.27940396061558,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1635712563476472,-80.27940396061558,17MNU,EPSG:32717,< 2015,12
EMSR789_5_17MNU_x573775_y9870095,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.186742117889547,-80.32541654300661,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.186742117889547,-80.32541654300661,17MNU,EPSG:32717,< 2015,2
EMSR789_5_17MNU_x584015_y9877775,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1172411609441084,-80.23339854485967,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1172411609441084,-80.23339854485967,17MNU,EPSG:32717,< 2015,6
EMSR789_5_17MNU_x581455_y9875215,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1404061815461466,-80.25640106887423,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1404061815461466,-80.25640106887423,17MNU,EPSG:32717,< 2015,12
EMSR789_5_17MNU_x586575_y9877775,2024-12-29T23:45:47.635849Z,2025-01-29T23:37:34.384829Z,2025-03-06T23:37:33.765173Z,2025-03-20T11:01:38.342107Z,-1.1172350281784638,-80.21039026226757,EPSG:32717,2024-12-04T15:52:19.024000Z,2025-01-23T15:52:19.024000Z,2025-03-04T15:52:19.024000Z,2025-03-24T15:52:19.024000Z,-1.1172350281784638,-80.21039026226757,17MNU,EPSG:32717,< 2015,1
