Nome_Serie,Data_1,Data_2,Data_3,Data_4,CloudCover_1,CloudCover_2,CloudCover_3,CloudCover_4,Lat_Centro,Lon_Centro,MGRS_Tile,EPSG
EMSR774_1_15QTA_x210565_y2032295_S2L2A,2024-09-26T16:39:49.024000Z,2024-10-24T16:53:51.024000Z,2024-10-29T16:53:29.024000Z,2024-11-28T16:55:49.024000Z,17.895618,14.528769,39.835227,1.439681,18.34956099197941,-95.72661177405374,15QTA,EPSG:32615
EMSR779_1_33PVM_x454835_y1160695_S2L2A,2024-08-30T09:20:31.024000Z,2024-10-29T09:21:11.024000Z,2024-11-23T09:22:19.024000Z,2024-12-23T09:23:19.024000Z,55.400372,0.0,0.487809,0.0,10.488214749089982,14.598917286757967,33PVM,EPSG:32633
EMSR777_5_16QCE_x326855_y1943515_S2L2A,2024-10-10T16:21:19.024000Z,2024-11-09T16:24:09.024000Z,2024-11-24T16:26:21.024000Z,2024-11-29T16:25:39.024000Z,25.035229,20.278299,5.711566,9.470715,17.560002980273072,-88.61937265128952,16QCE,EPSG:32616
EMSR472_3_48PYC_x801715_y1799195_S2L2A,2020-08-30T03:05:51.024000Z,2020-09-24T03:05:49.024000Z,2020-10-19T03:07:41.024000Z,2020-11-21T03:20:41.024000Z,10.592414,37.398892,99.999613,27.788506,16.243067963571526,107.83437628215009,48PYC,EPSG:32648
EMSR352_10_39RUP_x327895_y3384015_S2L2A,2019-02-17T07:19:49.024000Z,2019-03-04T07:18:01.024000Z,2019-04-13T07:16:21.024000Z,2019-04-23T07:16:21.024000Z,0.279302,0.212521,100.0,6.436548,30.56495274162834,49.21874368273563,39RUP,EPSG:32639
EMSR200_12_56JNP_x511225_y6823845_S2L2A,2017-01-31T23:52:41.026000Z,2017-03-02T23:52:41.026000Z,2017-04-05T00:02:21.026000Z,2017-05-01T23:52:51.026000Z,1.549096,21.96236,65.057912,17.556007,-28.724139740835952,153.12799841869588,56JNP,EPSG:32756
EMSR568_1_37LFD_x610665_y8332345_S2L2A,2022-02-06T07:21:01.024000Z,2022-03-03T07:18:09.024000Z,2022-03-18T07:16:31.024000Z,2022-04-07T07:16:21.024000Z,20.661536,9.194494,71.234781,None,-15.09347711023311,40.04163396083306,37LFD,EPSG:32737
EMSR283_5_32VPN_x660955_y6717605_S2L2A,2018-03-17T10:50:19.027000Z,2018-05-05T10:30:21.024000Z,2018-05-15T10:30:21.024000Z,2018-05-30T10:30:19.025000Z,4.362481,0.896078,0.029924,0.004232,60.55014061044117,11.958434291893518,32VPN,EPSG:32632
EMSR446_1_36NVG_x436745_y170425_S2L2A,2020-06-13T07:56:09.024000Z,2020-07-13T07:56:09.024000Z,2020-08-17T07:56:21.024000Z,2020-09-21T07:56:29.024000Z,13.615197,None,None,None,1.5302766425505978,32.442812823736354,36NVG,EPSG:32636
EMSR475_1_48QWF_x579165_y2061435_S2L2A,2020-09-05T03:25:41.024000Z,2020-09-05T03:25:41.024000Z,2020-10-30T03:28:59.024000Z,2020-11-09T03:29:49.024000Z,10.607032,10.607032,99.999435,52.759966,18.6309073560373,105.76259261896341,48QWF,EPSG:32648
EMSR352_1_39STR_x845965_y3538305_S2L2A,2019-02-20T07:29:39.024000Z,2019-03-12T07:30:19.024000Z,2019-04-08T07:16:19.024000Z,2019-04-26T07:26:21.024000Z,0.181802,0.120109,0.176796,None,31.91616036600245,48.67177970856965,39STR,EPSG:32639
EMSR470_1_30PZR_x209995_y1070645_S2L2A,2020-08-09T10:20:31.024000Z,2020-09-23T10:16:49.024000Z,2020-10-23T10:20:29.024000Z,2020-11-09T10:12:39.024000Z,44.520494,45.537784,7.354824,5.4e-05,9.663937379789829,0.3690322428729604,30PZR,EPSG:32630
EMSR429_3_29UMV_x476005_y5966325_S2L2A,2019-12-22T11:44:09.024000Z,2020-02-13T11:53:59.024000Z,2020-02-25T11:43:41.024000Z,2020-03-04T11:53:59.024000Z,13.713289,44.512383,93.518772,10.938033,53.833479239289765,-9.345232369299847,29UMV,EPSG:32629
EMSR274_6_39KTV_x285025_y7906525_S2L2A,2018-02-15T07:02:31.026000Z,2018-03-07T07:02:21.026000Z,2018-03-17T07:02:21.026000Z,2018-04-16T07:02:31.026000Z,48.777354,34.254684,26.808056,4.420238,-18.933972643414343,48.970730570083916,39KTV,EPSG:32739
EMSR568_1_37LED_x598855_y8311875_S2L2A,2022-02-06T07:21:01.024000Z,2022-03-03T07:18:09.024000Z,2022-03-18T07:16:31.024000Z,2022-04-07T07:16:21.024000Z,7.511793,3.164206,60.074717,None,-15.279002176583326,39.93256168386123,37LED,EPSG:32737
EMSR417_1_29TNE_x551225_y4454165_S2L2A,2019-10-22T11:21:21.024000Z,2019-12-11T11:24:51.024000Z,2019-12-24T11:35:01.024000Z,2020-01-05T11:23:49.024000Z,0.473887,9.280735,87.262363,0.312307,40.224792069273356,-8.382929444724276,29TNE,EPSG:32629
EMSR479_1_15QVA_x441505_y2000415_S2L2A,2020-09-17T16:38:39.024000Z,2020-10-12T16:42:31.024000Z,2020-11-08T16:35:11.024000Z,2020-11-11T16:45:31.024000Z,40.785792,22.911487,22.113768,7.087143,18.080178339827974,-93.54075022639928,15QVA,EPSG:32615
EMSR481_1_16PDC_x408315_y1731285_S2L2A,2020-09-18T16:08:39.024000Z,2020-10-08T16:10:59.024000Z,2020-11-12T16:15:31.024000Z,2020-12-12T16:16:51.024000Z,5.353436,37.702523,14.712838,5.52754,15.646470021325019,-87.84352635199845,16PDC,EPSG:32616
EMSR203_2_15SUB_x383315_y4101595_S2L2A,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-05-07T17:03:11.026000Z,2017-06-16T17:03:11.026000Z,0.363544,None,None,None,37.0420087982589,-94.29777396187556,15SUB,EPSG:32615
EMSR311_3_17SPT_x665545_y3776935_S2L2A,2018-08-09T15:49:01.024000Z,2018-08-24T15:48:09.024000Z,2018-09-21T15:59:41.024000Z,2018-10-13T15:52:09.024000Z,0.783661,1.494557,9.91087,0.132017,34.108472036176664,-79.19137894527327,17SPT,EPSG:32617
EMSR277_2_35TMF_x451005_y4563235_S2L2A,2018-01-31T09:12:11.026000Z,2018-03-07T09:08:19.027000Z,2018-04-03T08:55:49.027000Z,2018-04-28T08:56:01.024000Z,3.940361,6.295166,0.082906,0.056204,41.20760715068576,26.430802089903196,35TMF,EPSG:32635
EMSR564_1_38KND_x511475_y7812495_S2L2A,2022-01-03T07:11:59.024000Z,2022-01-28T07:12:01.024000Z,2022-02-07T07:12:01.024000Z,2022-02-12T07:11:59.024000Z,0.340337,13.27963,39.529625,15.107548,-19.794811539496237,45.12172981030477,38KND,EPSG:32738
EMSR444_2_35UMP_x400195_y5359705_S2L2A,2020-05-13T09:20:31.024000Z,2020-06-12T09:20:41.024000Z,2020-06-27T09:20:29.024000Z,2020-07-02T09:20:31.025000Z,0.547045,11.134459,42.085607,4.253825,48.37134349119556,25.66955317813907,35UMP,EPSG:32635
EMSR446_1_36NVG_x490505_y147385_S2L2A,2020-06-13T07:56:09.024000Z,2020-07-13T07:56:09.024000Z,2020-08-17T07:56:21.024000Z,2020-09-21T07:56:29.024000Z,13.615197,None,None,None,1.321899542869145,32.926109422517726,36NVG,EPSG:32636
