Nome_Serie,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR203_1_15STA_x201395_y3998765,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.07657790446222,-96.30161939883796,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.07657790446222,-96.30161939883796,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y3998765,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.077357309802665,-96.2732345004641,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.077357309802665,-96.2732345004641,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4001325,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.10040001136153,-96.27419102972311,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.10040001136153,-96.27419102972311,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4006445,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.14648508213411,-96.27610734970548,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-12,36.14648508213411,-96.27610734970548,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4009005,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.16952745124055,-96.27706714294618,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.16952745124055,-96.27706714294618,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4011565,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.19256970942226,-96.27802802670186,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.19256970942226,-96.27802802670186,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y3998765,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.07813000682293,-96.24484851661032,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.07813000682293,-96.24484851661032,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4006445,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.14725972772428,-96.24769655931162,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.14725972772428,-96.24769655931162,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4014125,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.21638845414658,-96.25055432093671,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.21638845414658,-96.25055432093671,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4016685,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.23943114171098,-96.2515090737505,EPSG:32615,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.23943114171098,-96.2515090737505,15STA,EPSG:32615
