Nome_Serie,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR203_1_15STA_x201395_y3998765,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.0765779,-96.3016194,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.0765779,-96.3016194,15STA,EPSG:32615
EMSR203_1_15STA_x201395_y4003885,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.12266189,-96.30355007,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.12266189,-96.30355007,15STA,EPSG:32615
EMSR203_1_15STA_x201395_y4006445,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.14570371,-96.30451705,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.14570371,-96.30451705,15STA,EPSG:32615
EMSR203_1_15STA_x201395_y4009005,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.16874542,-96.30548513,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.16874542,-96.30548513,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y3998765,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.07735731,-96.2732345,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.07735731,-96.2732345,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4001325,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.10040001,-96.27419103,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.10040001,-96.27419103,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4006445,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.14648508,-96.27610735,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.14648508,-96.27610735,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4009005,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.16952745,-96.27706714,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.16952745,-96.27706714,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4011565,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.19256971,-96.27802803,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.19256971,-96.27802803,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4014125,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.21561186,-96.27899,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.21561186,-96.27899,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4019245,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.26169582,-96.28091723,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.26169582,-96.28091723,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y3998765,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.07813001,-96.24484852,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.07813001,-96.24484852,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4006445,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.14725973,-96.24769656,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.14725973,-96.24769656,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4014125,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.21638845,-96.25055432,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.21638845,-96.25055432,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4016685,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.23943114,-96.25150907,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.23943114,-96.25150907,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4024365,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.30855854,-96.25437985,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.30855854,-96.25437985,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4026925,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.33160078,-96.25533895,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.33160078,-96.25533895,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4029485,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.35464292,-96.25629914,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.35464292,-96.25629914,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4032045,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.37768494,-96.25726042,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.37768494,-96.25726042,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y3993645,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.03280768,-96.21458464,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.03280768,-96.21458464,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y3996205,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.05585189,-96.21552251,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.05585189,-96.21552251,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4003885,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.12498387,-96.21834254,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.12498387,-96.21834254,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4006445,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.14802765,-96.21928469,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.14802765,-96.21928469,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4011565,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.19411487,-96.22117219,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.19411487,-96.22117219,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4016685,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.24020164,-96.22306399,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.24020164,-96.22306399,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4019245,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.26324487,-96.2240115,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.26324487,-96.2240115,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4024365,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.30933098,-96.22590976,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.30933098,-96.22590976,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4026925,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.33237387,-96.2268605,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.33237387,-96.2268605,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4029485,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.35541665,-96.22781233,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.35541665,-96.22781233,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4032045,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.37845932,-96.22876524,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.37845932,-96.22876524,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4034605,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.40150188,-96.22971923,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.40150188,-96.22971923,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4037165,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.42454433,-96.2306743,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.42454433,-96.2306743,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4039725,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.44758667,-96.23163046,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.44758667,-96.23163046,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y3993645,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.03356568,-96.18621301,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.03356568,-96.18621301,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y3996205,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.05661053,-96.18714264,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.05661053,-96.18714264,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4001325,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.1026999,-96.18900508,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.1026999,-96.18900508,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4009005,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.17183314,-96.19180668,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.17183314,-96.19180668,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4016685,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.24096539,-96.19461783,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.24096539,-96.19461783,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4021805,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.28705301,-96.19649727,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.28705301,-96.19649727,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4024365,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.31009665,-96.19743859,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.31009665,-96.19743859,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4026925,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.33314019,-96.19838098,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.33314019,-96.19838098,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4029485,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.35618361,-96.19932444,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.35618361,-96.19932444,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4032045,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.37922692,-96.20026897,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.37922692,-96.20026897,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4034605,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.40227012,-96.20121458,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.40227012,-96.20121458,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4037165,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.42531322,-96.20216126,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.42531322,-96.20216126,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4044845,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.49444183,-96.20500776,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.49444183,-96.20500776,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4047405,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.51748448,-96.20595875,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.51748448,-96.20595875,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y3996205,02/03/2016,26/03/2016,01/05/2016,25/05/2016,36.05736247,-96.15876171,EPSG:32615,03/03/2016,03/03/2016,05/05/2016,05/05/2016,36.05736247,-96.15876171,15STA,EPSG:32615
