Nome_Serie,Data_1,Data_2,Data_3,Data_4,BBox_1,BBox_2,BBox_3,BBox_4,Lat_Centro,Lon_Centro,EPSG
EMSR350_2_50KPC_x660015_y7734285_S1RTC,2019-02-15T21:39:29.683902Z,2019-02-22T21:31:11.449332Z,2019-03-30T10:37:34.044427Z,2019-04-11T21:31:11.998669Z,"[382330.0, 7593450.0, 679640.0, 7848770.0]","[601590.0, 7620230.0, 902700.0, 7878880.0]","[518170.0, 7595910.0, 804890.0, 7821570.0]","[601670.0, 7620230.0, 902830.0, 7878930.0]",-20.494712047069132,118.54663920835642,EPSG:32750
EMSR279_4_30TXM_x611635_y4633105_S1RTC,2018-02-24T17:55:03.139490Z,2018-03-19T06:09:29.113655Z,2018-04-18T06:08:42.286091Z,2018-04-24T06:09:30.366070Z,"[123460.0, 4514230.0, 406430.0, 4718400.0]","[530280.0, 4516050.0, 817080.0, 4722670.0]","[536730.0, 4554150.0, 821280.0, 4760670.0]","[530370.0, 4516030.0, 817200.0, 4722660.0]",41.830313204084455,-1.6402636587242214,EPSG:32631
EMSR203_3_15SVA_x447645_y4099745_S1RTC,2017-03-04T00:12:13.228118Z,2017-04-21T00:12:14.921848Z,2017-05-03T00:12:15.533614Z,2017-05-15T00:12:16.157203Z,"[316230.0, 4013640.0, 598760.0, 4223900.0]","[316210.0, 4013660.0, 598710.0, 4223930.0]","[316200.0, 4013660.0, 598700.0, 4223920.0]","[316240.0, 4013690.0, 598730.0, 4223940.0]",37.03104063363781,-93.57431783978662,EPSG:32615
EMSR444_2_35UMP_x402755_y5359705_S1RTC,2020-05-13T04:28:32.893749Z,2020-06-12T04:29:16.716151Z,2020-06-26T16:09:28.297607Z,2020-06-30T04:28:35.715878Z,"[233280.0, 5206590.0, 523400.0, 5422860.0]","[233040.0, 5206530.0, 523550.0, 5422890.0]","[230520.0, 5227710.0, 519360.0, 5434850.0]","[233130.0, 5206590.0, 523270.0, 5422860.0]",48.37173801294441,25.704111442511472,EPSG:32635
EMSR416_1_30TXP_x651415_y4834755_S1RTC,2019-10-15T06:16:44.429484Z,2019-12-04T17:55:43.428938Z,2019-12-15T06:09:19.066851Z,2020-01-20T06:09:09.386260Z,"[396080.0, 4730180.0, 687710.0, 4940550.0]","[583080.0, 4673310.0, 876940.0, 4892280.0]","[555780.0, 4684430.0, 843750.0, 4889340.0]","[567250.0, 4740090.0, 851890.0, 4943790.0]",43.63864270932156,-1.106988243765251,EPSG:32630
EMSR203_3_15SWA_x521455_y4084375_S1RTC,2017-03-11T00:03:46.921933Z,2017-04-21T00:12:14.921848Z,2017-05-03T00:12:15.533614Z,2017-05-15T00:12:16.157203Z,"[514280.0, 3926900.0, 799530.0, 4142590.0]","[316210.0, 4013660.0, 598710.0, 4223930.0]","[316200.0, 4013660.0, 598700.0, 4223920.0]","[316240.0, 4013690.0, 598730.0, 4223940.0]",36.89360399646205,-92.74489329012158,EPSG:32615
EMSR187_1_35TNL_x546265_y5063815_S1RTC,2016-09-04T16:01:09.461419Z,2016-09-26T04:20:43.664068Z,2016-10-14T04:21:25.750132Z,2016-11-07T04:21:25.657813Z,"[414720.0, 5050730.0, 698820.0, 5263610.0]","[340410.0, 4926510.0, 625930.0, 5138200.0]","[340410.0, 4926520.0, 625940.0, 5138210.0]","[340450.0, 4926520.0, 626000.0, 5138220.0]",45.714781791052296,27.610824958076137,EPSG:32635
EMSR277_2_35TMF_x456125_y4573475_S1RTC,2018-01-31T04:21:46.894507Z,2018-03-08T04:21:46.561357Z,2018-04-01T04:21:47.146456Z,2018-04-25T04:21:47.914703Z,"[269640.0, 4525020.0, 552955.0, 4738460.0]","[268200.0, 4525010.0, 553060.0, 4738800.0]","[267980.0, 4525020.0, 552810.0, 4738790.0]","[268140.0, 4525010.0, 552980.0, 4738790.0]",41.30012944620376,26.491155070621545,EPSG:32635
EMSR397_1_31TCG_x341115_y4619385_S1RTC,2019-09-10T06:09:35.461486Z,2019-10-05T17:55:19.323742Z,2019-10-29T17:55:19.291292Z,2019-11-28T06:01:34.735327Z,"[543310.0, 4575340.0, 824050.0, 4781040.0]","[123430.0, 4514280.0, 406370.0, 4718440.0]","[123580.0, 4514270.0, 406560.0, 4718420.0]","[195500.0, 4485520.0, 488220.0, 4702830.0]",41.6991728172504,1.1058382891322722,EPSG:32630
EMSR645_6_38LRH_x813025_y8200745_S1RTC,2022-11-23T02:19:05.919416Z,2023-01-10T02:19:02.894384Z,2023-01-28T15:19:26.540598Z,2023-02-03T02:19:02.363372Z,"[96400.0, 8135550.0, 385170.0, 8359880.0]","[96620.0, 8135550.0, 385580.0, 8359910.0]","[642240.0, 7995650.0, 930710.0, 8219440.0]","[96540.0, 8135540.0, 385430.0, 8359900.0]",-16.265191143341838,47.94042959657192,EPSG:32739
EMSR427_10_33VVC_x455495_y6283045_S1RTC,2019-12-31T16:45:13.646047Z,2020-01-23T16:53:00.518909Z,2020-03-07T05:24:22.480660Z,2020-03-23T16:52:59.935692Z,"[340170.0, 6100700.0, 628450.0, 6312580.0]","[197260.0, 6211970.0, 483230.0, 6416420.0]","[266640.0, 6177890.0, 556780.0, 6395350.0]","[197320.0, 6211990.0, 486190.0, 6416830.0]",56.67803834825817,14.294444712452515,EPSG:32633
EMSR265_14_31UEQ_x522555_y5415395_S1RTC,2017-12-10T17:40:00.957934Z,2018-01-13T05:59:14.975129Z,2018-01-27T17:39:59.106608Z,2018-02-21T17:32:23.018319Z,"[313650.0, 5339730.0, 596270.0, 5548690.0]","[354090.0, 5319060.0, 644300.0, 5530880.0]","[313740.0, 5339730.0, 596360.0, 5548690.0]","[465710.0, 5311820.0, 754150.0, 5527470.0]",48.87957712723541,3.325019655783213,EPSG:32631
EMSR774_1_15QTA_x228485_y2037415_S1RTC,2024-09-26T00:32:13.736582Z,2024-10-20T00:32:14.415783Z,2024-11-10T12:18:18.421784Z,2024-11-25T00:32:12.998240Z,"[87290.0, 1861720.0, 370580.0, 2074390.0]","[83821.75247850975, 2074719.5241730935, 372071.75247850973, 1861999.5241730935]","[31523.731674367482, 2266675.423562345, 318843.7316743675, 2021855.423562345]","[83849.85368065607, 2074705.360414417, 372139.85368065606, 1861985.360414417]",18.3981411064334,-95.55786039760041,EPSG:32615
EMSR779_1_33PVM_x475315_y1163255_S1RTC,2024-09-24T04:48:06.231270Z,2024-10-30T04:48:06.792731Z,2024-11-23T04:48:05.473448Z,2024-12-29T04:48:02.775320Z,"[395700.0, 1082790.0, 675230.0, 1298790.0]","[395804.2687601462, 1298942.9388029925, 675294.2687601462, 1082952.9388029925]","[395853.56121499266, 1298951.8783755964, 675343.5612149927, 1082961.8783755964]","[395684.7595838943, 1298947.7430902612, 675164.7595838943, 1082967.7430902612]",10.511548949320467,14.786053724101661,EPSG:32633
EMSR279_3_30TXM_x618985_y4676815_S1RTC,2018-02-16T06:17:15.759934Z,2018-03-25T06:08:41.586747Z,2018-04-18T06:08:42.286091Z,2018-04-24T06:09:30.366070Z,"[389710.0, 4692220.0, 680510.0, 4902780.0]","[536780.0, 4554160.0, 821390.0, 4760690.0]","[536730.0, 4554150.0, 821280.0, 4760670.0]","[530370.0, 4516030.0, 817200.0, 4722660.0]",42.222784304736436,-1.5428151966792727,EPSG:32630
EMSR788_1_30TWT_x585815_y5289685_S1RTC,2024-12-10T06:24:53.750809Z,2025-01-18T17:57:13.636425Z,2025-01-30T17:57:11.935163Z,2025-02-27T06:16:28.758160Z,"[310784.4939679219, 5363680.50634034, 602344.4939679219, 5149990.50634034]","[479160.0, 5171650.0, 766460.0, 5400140.0]","[481650.0, 5171680.0, 771320.0, 5388020.0]","[473570.0, 5194410.0, 761670.0, 5401620.0]",47.7431806685731,-1.8382499895243245,EPSG:32630
EMSR397_1_31TCG_x330875_y4606585_S1RTC,2019-09-10T06:09:35.461486Z,2019-10-05T17:55:19.323742Z,2019-10-29T17:55:19.291292Z,2019-11-28T06:01:34.735327Z,"[543310.0, 4575340.0, 824050.0, 4781040.0]","[123430.0, 4514280.0, 406370.0, 4718440.0]","[123580.0, 4514270.0, 406560.0, 4718420.0]","[195500.0, 4485520.0, 488220.0, 4702830.0]",41.58185790032542,0.9864361471614116,EPSG:32630
EMSR200_12_56JNP_x513785_y6808485_S1RTC,2017-02-01T19:14:02.094917Z,2017-03-04T19:05:52.246503Z,2017-04-09T19:05:53.307776Z,2017-05-03T19:05:54.563098Z,"[262440.0, 6741380.0, 563420.0, 6974750.0]","[463050.0, 6711880.0, 755460.0, 6946210.0]","[463020.0, 6711840.0, 755460.0, 6946180.0]","[462970.0, 6711860.0, 755410.0, 6946200.0]",-28.862755021316072,153.1544165929215,EPSG:32756
EMSR184_4_55HCC_x339535_y6250965_S1RTC,2016-08-03T19:32:02.396534Z,2016-09-08T19:32:03.733594Z,2016-10-04T09:03:14.863150Z,2016-10-22T09:03:54.150257Z,"[285430.0, 6137240.0, 583370.0, 6373000.0]","[285460.0, 6137260.0, 583410.0, 6373030.0]","[172210.0, 6131140.0, 471570.0, 6395750.0]","[177730.0, 6113030.0, 477170.0, 6377730.0]",-33.88113607308905,145.27868404768273,EPSG:32755
