Nome_Serie,Data_1,Data_2,Data_3,Data_4,CloudCover_1,CloudCover_2,CloudCover_3,CloudCover_4,Lat_Centro,Lon_Centro,MGRS_Tile,EPSG
EMSR350_2_50KPC_x660015_y7734285_S2L2A,2019-02-16T02:13:41.024000Z,2019-02-26T02:13:41.024000Z,2019-03-28T02:13:41.024000Z,2019-04-17T02:13:51.024000Z,0.017973,0.027817,9.652257,0.016072,-20.494712047069132,118.54663920835642,50KPC,EPSG:32750
EMSR279_4_30TXM_x611635_y4633105_S2L2A,2018-02-25T10:50:19.027000Z,2018-03-15T10:58:11.026000Z,2018-04-14T10:56:51.026000Z,2018-04-24T10:56:51.024000Z,0.303081,16.816271,33.070365,2.026556,41.830313204084455,-1.6402636587242214,30TXM,EPSG:32630
EMSR203_3_15SVA_x447645_y4099745_S2L2A,2017-03-08T17:03:01.026000Z,2017-04-24T16:53:11.026000Z,2017-05-07T17:03:11.026000Z,2017-05-14T16:53:21.026000Z,0.776516,0.493354,0.274959,2.544387,37.03104063363781,-93.57431783978662,15SVA,EPSG:32615
EMSR444_2_35UMP_x402755_y5359705_S2L2A,2020-05-13T09:20:31.024000Z,2020-06-12T09:20:41.024000Z,2020-06-27T09:20:29.024000Z,2020-07-02T09:20:31.025000Z,0.547045,11.134459,42.085607,4.253825,48.37173801294441,25.704111442511472,35UMP,EPSG:32635
EMSR416_1_30TXP_x651415_y4834755_S2L2A,2019-10-13T10:50:31.024000Z,2019-12-05T11:04:31.024000Z,2019-12-15T11:04:41.024000Z,2020-01-19T11:02:59.024000Z,4.630272,15.343393,3.038166,1.411359,43.63864270932156,-1.106988243765251,30TXP,EPSG:32630
EMSR203_3_15SWA_x521455_y4084375_S2L2A,2017-03-08T17:03:01.026000Z,2017-04-24T16:53:11.026000Z,2017-05-07T17:03:11.026000Z,2017-05-14T16:53:21.026000Z,2.148042,0.355211,1.003837,1.274614,36.89360399646205,-92.74489329012158,15SWA,EPSG:32615
EMSR187_1_35TNL_x546265_y5063815_S2L2A,2016-09-05T09:00:22.026000Z,2016-09-28T09:10:22.026000Z,2016-10-15T09:00:12.026000Z,2016-11-04T09:01:32.026000Z,0.025612,0.016738,55.845753,3.082739,45.714781791052296,27.610824958076137,35TNL,EPSG:32635
EMSR277_2_35TMF_x456125_y4573475_S2L2A,2018-01-31T09:12:11.026000Z,2018-03-07T09:08:19.027000Z,2018-04-03T08:55:49.027000Z,2018-04-28T08:56:01.024000Z,3.940361,6.295166,0.082906,0.056204,41.30012944620376,26.491155070621545,35TMF,EPSG:32635
EMSR397_1_31TCG_x341115_y4619385_S2L2A,2019-09-08T10:50:29.024000Z,2019-10-05T10:40:29.024000Z,2019-10-25T10:40:29.024000Z,2019-11-29T10:44:11.024000Z,1.52682,1.496126,6.151234,1.895576,41.6991728172504,1.1058382891322722,31TCG,EPSG:32631
EMSR645_6_38LRH_x813025_y8200745_S2L2A,2022-11-26T07:01:59.024000Z,2023-01-08T07:12:09.024000Z,2023-01-28T07:12:09.024000Z,2023-02-04T07:01:59.024000Z,22.933424,3.294234,50.313514,51.567858,-16.265191143341838,47.94042959657192,38LRH,EPSG:32738
EMSR427_10_33VVC_x455495_y6283045_S2L2A,2019-12-31T10:33:39.024000Z,2020-01-22T10:23:21.024000Z,2020-03-07T10:17:59.024000Z,2020-03-25T10:30:21.024000Z,1.251775,4.052502,91.553835,0.052522,56.67803834825817,14.294444712452515,33VVC,EPSG:32633
EMSR265_14_31UEQ_x522555_y5415395_S2L2A,2017-12-12T10:54:41.026000Z,2018-01-03T10:44:29.027000Z,2018-01-26T10:53:19.027000Z,2018-02-22T10:40:29.028000Z,11.157039,29.891872,99.926458,0.153734,48.87957712723541,3.325019655783213,31UEQ,EPSG:32631
EMSR186_13_17SMR_x450865_y3505915_S2L2A,2016-08-22T15:59:02.026000Z,2016-10-01T16:00:52.026000Z,2016-10-14T16:13:42.026000Z,2016-11-10T16:05:02.026000Z,15.4311,0.799702,6.813677,0.147561,31.676050566015263,-81.5049242899763,17SMR,EPSG:32617
EMSR774_1_15QTA_x228485_y2037415_S2L2A,2024-09-26T16:39:49.024000Z,2024-10-24T16:53:51.024000Z,2024-10-29T16:53:29.024000Z,2024-11-28T16:55:49.024000Z,17.895618,14.528769,39.835227,1.439681,18.3981411064334,-95.55786039760041,15QTA,EPSG:32615
EMSR779_1_33PVM_x475315_y1163255_S2L2A,2024-08-30T09:20:31.024000Z,2024-10-29T09:21:11.024000Z,2024-11-23T09:22:19.024000Z,2024-12-23T09:23:19.024000Z,55.400372,0.0,0.487809,0.0,10.511548949320467,14.786053724101661,33PVM,EPSG:32633
EMSR279_3_30TXM_x618985_y4676815_S2L2A,2018-01-29T11:03:09.027000Z,2018-03-30T10:56:19.027000Z,2018-04-14T10:56:51.026000Z,2018-04-19T10:56:19.027000Z,0.360842,19.151837,33.070365,1.496445,42.222784304736436,-1.5428151966792727,30TXM,EPSG:32630
EMSR788_1_30TWT_x585815_y5289685_S2L2A,2024-12-03T11:04:19.025000Z,2025-01-15T11:13:19.024000Z,2025-01-30T11:13:41.025000Z,2025-03-03T10:58:49.024000Z,63.061315,0.006367,47.004396,0.003274,47.7431806685731,-1.8382499895243245,30TWT,EPSG:32630
EMSR397_1_31TCG_x330875_y4606585_S2L2A,2019-09-08T10:50:29.024000Z,2019-10-05T10:40:29.024000Z,2019-10-25T10:40:29.024000Z,2019-11-29T10:44:11.024000Z,1.52682,1.496126,6.151234,1.895576,41.58185790032542,0.9864361471614116,31TCG,EPSG:32631
EMSR200_12_56JNP_x513785_y6808485_S2L2A,2017-01-31T23:52:41.026000Z,2017-03-02T23:52:41.026000Z,2017-04-05T00:02:21.026000Z,2017-05-01T23:52:51.026000Z,1.549096,21.96236,65.057912,17.556007,-28.862755021316072,153.1544165929215,56JNP,EPSG:32756
EMSR184_4_55HCC_x339535_y6250965_S2L2A,2016-08-04T00:26:02.026000Z,2016-09-23T00:21:02.026000Z,2016-10-03T00:25:52.026000Z,2016-10-23T00:25:52.026000Z,0.04503,0.153722,24.423115,0.098606,-33.88113607308905,145.27868404768273,55HCC,EPSG:32755
