Nome_Serie,Data_1,Data_2,Data_3,Data_4,CloudCover_1,CloudCover_2,CloudCover_3,CloudCover_4,Lat_Centro,Lon_Centro,MGRS_Tile,EPSG
EMSR779_1_33PVM_x493235_y1193975_S2L2A,2024-08-30T09:20:31.024000Z,2024-10-29T09:21:11.024000Z,2024-11-23T09:22:19.024000Z,2024-12-23T09:23:19.024000Z,55.400372,0.0,0.487809,0.0,10.789455138801488,14.949780759688794,33PVM,EPSG:32633
EMSR261_3_32UPC_x623905_y5784375_S2L2A,2017-10-14T10:20:21.026000Z,2017-11-03T10:22:01.026000Z,2017-12-18T10:24:19.027000Z,2018-01-20T10:33:39.027000Z,7.271268,7.043646,15.38555,61.059392,52.18414452543059,10.831037174898977,32UPC,EPSG:32632
EMSR479_1_15QVA_x421025_y1997855_S2L2A,2020-09-17T16:38:39.024000Z,2020-10-12T16:42:31.024000Z,2020-11-08T16:35:11.024000Z,2020-11-11T16:45:31.024000Z,40.785792,22.911487,22.113768,7.087143,18.056402303387614,-93.73418754168173,15QVA,EPSG:32615
EMSR264_4_38LQH_x780565_y8214655_S2L2A,2017-11-12T07:02:19.027000Z,2017-12-20T07:12:11.026000Z,2018-01-14T07:12:09.027000Z,2018-02-03T07:12:09.027000Z,1.813409,None,None,None,-16.14357452513532,47.63532570435863,38LQH,EPSG:32738
EMSR264_3_38LQK_x793605_y8400755_S2L2A,2017-11-20T07:12:11.026000Z,2017-12-30T07:12:11.026000Z,2018-01-14T07:12:09.027000Z,2018-02-03T07:12:09.027000Z,12.554335,4.100086,67.197605,29.356057,-14.461449246294816,47.735235504341894,38LQK,EPSG:32738
EMSR229_3_14RNS_x563245_y3131805_S2L2A,2017-07-21T16:58:59.027000Z,2017-08-13T17:25:49.027000Z,2017-08-30T16:58:49.027000Z,2017-09-12T17:09:49.027000Z,0.298897,None,None,None,28.299266258222474,-98.3419733767794,14RNS,EPSG:32614
EMSR243_1_19QGA_x728015_y2006175_S2L2A,2017-07-27T15:07:51.026000Z,2017-08-31T15:07:39.027000Z,2017-09-20T15:07:29.027000Z,2017-10-20T15:07:09.027000Z,18.493539,19.751346,99.999903,13.864678,18.120804426002927,-66.83301867060558,19QGA,EPSG:32619
EMSR264_3_38LQJ_x793265_y8379605_S2L2A,2017-12-02T07:02:19.027000Z,2017-12-20T07:12:11.026000Z,2018-01-14T07:12:09.027000Z,2018-02-03T07:12:09.027000Z,2.757455,14.079582,25.784589,14.471329,-14.652496335130774,47.73443748134908,38LQJ,EPSG:32738
EMSR437_4_30TXP_x690745_y4848595_S2L2A,2020-04-10T10:50:31.024000Z,2020-04-10T10:50:31.024000Z,2020-05-13T10:56:21.024000Z,2020-05-18T10:56:19.024000Z,0.047209,0.047209,97.743396,2.066111,43.75403936723669,-0.6148249982070065,30TXP,EPSG:32630
EMSR342_4_54KWC_x558925_y7702635_S2L2A,2018-12-21T00:47:01.024000Z,2019-01-05T00:47:09.024000Z,2019-02-09T00:47:01.024000Z,2019-03-16T00:47:09.024000Z,0.009582,0.713763,4.454839,0.026529,-20.786616153326477,141.57841714862448,54KWC,EPSG:32754
EMSR517_5_31UGS_x351025_y5635905_S2L2A,2021-06-13T10:25:59.024000Z,2021-06-13T10:25:59.024000Z,2021-07-16T10:36:29.024000Z,2021-07-21T10:40:31.024000Z,0.370384,None,None,None,50.8444977458962,6.902009910325902,31UGS,EPSG:32631
EMSR279_2_30TXN_x618895_y4763105_S2L2A,2018-01-29T11:03:09.027000Z,2018-03-30T10:56:19.027000Z,2018-04-19T10:56:19.027000Z,2018-04-24T10:56:51.024000Z,0.416964,34.33949,6.76956,4.045889,42.99964580170196,-1.5256926655186298,30TXN,EPSG:32630
EMSR347_6_36LXH_x688895_y8260835_S2L2A,2019-01-29T07:41:51.024000Z,2019-02-28T07:38:41.024000Z,2019-03-10T07:37:31.024000Z,2019-03-25T07:36:09.024000Z,41.011652,1.793262,9.116761,4.324757,-15.735163781537851,34.77486662547647,36LXH,EPSG:32736
EMSR200_3_55KFS_x693565_y7645285_S2L2A,2017-01-11T00:17:11.026000Z,2017-03-12T00:21:01.026000Z,2017-04-01T00:21:01.026000Z,2017-04-11T00:21:01.026000Z,7.599467,5.259415,1.972634,1.696078,-21.29530032312295,148.8782149338925,55KFS,EPSG:32755
EMSR352_1_38RQV_x788965_y3475785_S2L2A,2019-01-31T07:31:39.024000Z,2019-03-07T07:27:41.024000Z,2019-04-11T07:26:19.024000Z,2019-05-16T07:26:21.024000Z,0.16281,0.327421,65.738282,None,31.36888233234284,48.05138884076402,38RQV,EPSG:32638
EMSR261_1_32UND_x541685_y5849375_S2L2A,2017-10-15T10:40:09.027000Z,2017-10-30T10:41:51.026000Z,2017-12-16T10:34:31.026000Z,2017-12-26T10:34:31.026000Z,0.053559,3.838416,60.032628,90.138675,52.781007310813045,9.636925021160312,32UND,EPSG:32632
EMSR712_4_32UMC_x507195_y5780545_S2L2A,2023-11-08T10:42:41.024000Z,2023-11-10T10:31:59.024000Z,2023-12-25T10:34:41.024000Z,2024-01-27T10:43:11.024000Z,68.124193,64.507872,99.216312,0.048754,52.16385396041079,9.123831128535185,32UMC,EPSG:32632
