Nome_Serie,Problema,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR150_1_30UXE_x617415_y5973395,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-06,2025-06-06,2025-07-05,53.883939801829456,-1.1942363414429653,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-05,2025-05-10,2025-06-19,2025-07-11,53.883939801829456,-1.1942363414429653,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-10,2025-06-06,2025-07-05,53.90634530434174,-1.1542967680429843,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-05,2025-05-12,2025-06-19,2025-07-11,53.90634530434174,-1.1542967680429843,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-06-06,2025-07-05,2025-08-05,2025-09-07,53.97593131097794,-1.1902596885940546,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-06-19,2025-07-11,2025-08-13,2025-09-22,53.97593131097794,-1.1902596885940546,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-07-05,2025-08-05,2025-09-07,2025-10-06,53.90693783091531,-1.1932442525942089,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-07-11,2025-08-13,2025-09-12,2025-10-12,53.90693783091531,-1.1932442525942089,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-06,2025-06-06,2025-07-05,53.9535144566625,-1.2302476023777988,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-08,2025-05-10,2025-06-19,2025-07-11,53.9535144566625,-1.2302476023777988,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-06-06,2025-07-05,2025-08-05,2025-09-07,53.97651266948497,-1.2292728108190492,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-06-19,2025-07-11,2025-08-13,2025-09-22,53.97651266948497,-1.2292728108190492,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-03-07,2025-04-07,2025-05-06,2025-06-06,53.9995107816413,-1.228296660133011,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-03-06,2025-04-08,2025-05-10,2025-06-19,53.9995107816413,-1.228296660133011,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2024-10-06,2024-11-07,2024-12-05,2025-01-06,53.99892893526405,-1.189262059432986,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2024-10-10,2024-11-11,2024-12-14,2025-01-10,53.99892893526405,-1.189262059432986,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5973395,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-10-06,2025-11-06,2025-12-05,2026-01-05,53.88334777155555,-1.1553102136783906,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-10-12,2025-11-19,2025-12-19,2026-01-05,53.88334777155555,-1.1553102136783906,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-12-07,2023-01-05,2023-02-05,2023-03-06,53.90751772901871,-1.2321931183213568,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-12-07,2023-01-09,2023-02-23,2023-03-07,53.90751772901871,-1.2321931183213568,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2023-01-05,2023-02-05,2023-03-06,2023-04-06,53.930516143173776,-1.2312210373628725,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2023-01-09,2023-02-23,2023-03-07,2023-04-11,53.930516143173776,-1.2312210373628725,30UXE,EPSG:32630
