Nome_Serie,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR203_1_15STA_x201395_y3998765,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.07657790446222,-96.30161939883796,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.07657790446222,-96.30161939883796,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y3998765,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.077357309802665,-96.2732345004641,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.077357309802665,-96.2732345004641,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4001325,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.10040001136153,-96.27419102972311,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.10040001136153,-96.27419102972311,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4006445,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.14648508213411,-96.27610734970548,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-12,36.14648508213411,-96.27610734970548,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4009005,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.16952745124055,-96.27706714294618,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.16952745124055,-96.27706714294618,15STA,EPSG:32615
EMSR203_1_15STA_x203955_y4011565,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.19256970942226,-96.27802802670186,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.19256970942226,-96.27802802670186,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y3998765,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.07813000682293,-96.24484851661032,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.07813000682293,-96.24484851661032,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4006445,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.14725972772428,-96.24769655931162,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.14725972772428,-96.24769655931162,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4014125,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.21638845414658,-96.25055432093671,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.21638845414658,-96.25055432093671,15STA,EPSG:32615
EMSR203_1_15STA_x206515_y4016685,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.23943114171098,-96.2515090737505,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.23943114171098,-96.2515090737505,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y3993645,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.03280767637902,-96.21458463770388,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.03280767637902,-96.21458463770388,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y3996205,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.055851890502325,-96.21552251437974,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.055851890502325,-96.21552251437974,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4003885,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.12498387315897,-96.21834254271324,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.12498387315897,-96.21834254271324,15STA,EPSG:32615
