Nome_Serie,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT,month
EMSR150_3_30UWE_x560385_y5967625,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.84200101894066,-2.062869774595001,EPSG:32630,,,,,,,,,,,,,6
EMSR150_3_30UWE_x562945_y5967625,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.84169086755551,-2.023968096003188,EPSG:32630,,,,,,,,,,,,,9
EMSR150_3_30UWE_x562945_y5970185,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.86469715870986,-2.023432628769259,EPSG:32630,,,,,,,,,,,,,4
EMSR150_3_30UWE_x562945_y5972745,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.88770335745577,-2.0228964164658825,EPSG:32630,,,,,,,,,,,,,4
EMSR150_3_30UWE_x562945_y5975305,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.91070946380941,-2.022359457693482,EPSG:32630,,,,,,,,,,,,,6
EMSR150_3_30UWE_x562945_y5977865,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.93371547778702,-2.021821751048897,EPSG:32630,,,,,,,,,,,,,4
EMSR150_3_30UWE_x565505_y5967625,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.84136810576293,-1.9850671610842208,EPSG:32630,,,,,,,,,,,,,1
EMSR150_3_30UWE_x565505_y5970185,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.86437412637604,-1.9845103609200525,EPSG:32630,,,,,,,,,,,,,3
EMSR150_3_30UWE_x565505_y5972745,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.88738005428463,-1.9839527860174384,EPSG:32630,,,,,,,,,,,,,6
EMSR150_3_30UWE_x565505_y5975305,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.91038588950427,-1.9833944349211103,EPSG:32630,,,,,,,,,,,,,4
