Nome_Serie,Problema,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,ID_1_SAR,ID_2_SAR,ID_3_SAR,ID_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR
EMSR349_2_36KUD_x356385_y7878145_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T16:23:31.876392Z,2019-04-29T16:23:33.387773Z,2018-02-09,2018-02-09,2018-03-17,2018-04-22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180422T162313_20180422T162338_010598_013562_F8DD,-19.196563061575542,31.646101200779185,EPSG:32736
EMSR349_2_36KUD_x361505_y7878145_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T16:23:31.876392Z,2019-04-29T16:23:33.387773Z,2018-02-09,2018-02-09,2018-03-17,2018-04-22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180422T162313_20180422T162338_010598_013562_F8DD,-19.196916091622175,31.69479167277124,EPSG:32736
EMSR349_2_36KUD_x358945_y7875585_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T16:23:31.876392Z,2019-04-29T16:23:33.387773Z,2018-02-09,2018-02-09,2018-03-17,2018-04-22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180422T162313_20180422T162338_010598_013562_F8DD,-19.21987088157262,31.67026037811887,EPSG:32736
EMSR349_3_36KUD_x341245_y7858715_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.3709800044808,31.50053129411086,EPSG:32736
EMSR349_2_36KUD_x356385_y7875585_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T16:23:31.876392Z,2019-04-29T16:23:33.387773Z,2018-02-09,2018-02-09,2018-03-17,2018-04-22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180422T162313_20180422T162338_010598_013562_F8DD,-19.21969252054262,31.64591187387829,EPSG:32736
EMSR349_3_36KUD_x341245_y7856155_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.39410755076035,31.50031955986851,EPSG:32736
EMSR349_2_36KUD_x361505_y7875585_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T16:23:31.876392Z,2019-04-29T16:23:33.387773Z,2018-02-09,2018-02-09,2018-03-17,2018-04-22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180422T162313_20180422T162338_010598_013562_F8DD,-19.220046008406094,31.694609149862387,EPSG:32736
EMSR349_3_36KUD_x338685_y7858715_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.37077757156009,31.47616224113017,EPSG:32736
EMSR349_3_36KUD_x338685_y7856155_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.39390485734965,31.4759470690476,EPSG:32736
EMSR349_2_36KUD_x358945_y7878145_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T16:23:31.876392Z,2019-04-29T16:23:33.387773Z,2018-02-09,2018-02-09,2018-03-17,2018-04-22,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180422T162313_20180422T162338_010598_013562_F8DD,-19.19674119160299,31.670446303109568,EPSG:32736
