epoch,lr,train_loss
0,0.03,5.465336335443817
1,0.03,5.542492548113184
2,0.03,5.605553796573311
3,0.03,5.763293142771395
4,0.03,5.686876832527781
5,0.03,5.78136647255883
6,0.03,5.694068178282758
7,0.03,5.684856632689939
8,0.03,5.716821352896533
9,0.03,5.675164318621782
10,0.03,5.651665881671737
11,0.03,5.560760964526348
12,0.03,5.623520327113083
13,0.03,5.68990187825259
14,0.03,5.706296250212126
15,0.03,5.65505910245814
16,0.03,5.695695749714024
17,0.03,5.71910069435715
18,0.03,5.658102316330828
19,0.03,5.679911606559232
20,0.03,5.678099898494067
21,0.03,5.737684524548409
22,0.03,5.782096709345774
23,0.03,5.712087150935866
24,0.03,5.700551506404616
25,0.03,5.701070378887394
26,0.03,5.749477076511275
27,0.03,5.782760902460026
28,0.03,5.694078637243564
29,0.03,5.681002923009478
30,0.03,5.704449899908236
